sst_size_mb,requested_input_sst_count,input_data_mb,value_size,benchmark,parsed_benchmark_name,input_path_component,key_size,best_subcompactions,requested_bg_threads,num_repeats,benchmark_elapsed_s,compaction_time_micros,compaction_time_count,compaction_runs,preload_entries,target_logical_input_bytes,preload_sst_count,preload_sst_bytes,preload_db_bytes,compaction_count,actual_subcompactions_avg,actual_subcompactions_max,total_compaction_wall_s,total_compaction_cpu_s,total_compaction_read_io_s,total_compaction_write_io_s,read_pct,write_pct,compute_pct,cpu_resource_pct,total_input_bytes,total_output_bytes,total_input_records,total_output_records,target_logical_input_records,total_logical_input_bytes,total_logical_output_bytes,input_throughput_mib_per_sec,output_throughput_mib_per_sec,logical_input_throughput_mib_per_sec,logical_target_throughput_mib_per_sec,total_rw_throughput_mib_per_sec,logical_input_throughput_records_per_sec,logical_output_throughput_records_per_sec,logical_target_throughput_records_per_sec,total_rw_throughput_records_per_sec,logical_input_throughput_mrecords_per_sec,logical_output_throughput_mrecords_per_sec,logical_target_throughput_mrecords_per_sec,total_rw_throughput_mrecords_per_sec,avg_device_util_pct,max_device_util_pct,avg_device_queue_depth,avg_device_rkib_per_sec,avg_device_wkib_per_sec,avg_process_cpu_pct,max_process_cpu_pct,avg_system_cpu_busy_pct,avg_system_cpu_iowait_pct,avg_foreground_cpu_pct,avg_compaction_cpu_pct,avg_flush_cpu_pct,avg_background_cpu_pct,max_compaction_cpu_pct,benchmark_elapsed_s_std,compaction_time_micros_std,compaction_time_count_std,compaction_runs_std,preload_entries_std,target_logical_input_bytes_std,preload_sst_count_std,preload_sst_bytes_std,preload_db_bytes_std,compaction_count_std,actual_subcompactions_avg_std,actual_subcompactions_max_std,total_compaction_wall_s_std,total_compaction_cpu_s_std,total_compaction_read_io_s_std,total_compaction_write_io_s_std,read_pct_std,write_pct_std,compute_pct_std,cpu_resource_pct_std,total_input_bytes_std,total_output_bytes_std,total_input_records_std,total_output_records_std,target_logical_input_records_std,total_logical_input_bytes_std,total_logical_output_bytes_std,input_throughput_mib_per_sec_std,output_throughput_mib_per_sec_std,logical_input_throughput_mib_per_sec_std,logical_target_throughput_mib_per_sec_std,total_rw_throughput_mib_per_sec_std,logical_input_throughput_records_per_sec_std,logical_output_throughput_records_per_sec_std,logical_target_throughput_records_per_sec_std,total_rw_throughput_records_per_sec_std,logical_input_throughput_mrecords_per_sec_std,logical_output_throughput_mrecords_per_sec_std,logical_target_throughput_mrecords_per_sec_std,total_rw_throughput_mrecords_per_sec_std,avg_device_util_pct_std,max_device_util_pct_std,avg_device_queue_depth_std,avg_device_rkib_per_sec_std,avg_device_wkib_per_sec_std,avg_process_cpu_pct_std,max_process_cpu_pct_std,avg_system_cpu_busy_pct_std,avg_system_cpu_iowait_pct_std,avg_foreground_cpu_pct_std,avg_compaction_cpu_pct_std,avg_flush_cpu_pct_std,avg_background_cpu_pct_std,max_compaction_cpu_pct_std,elapsed_source,compaction_time_source,run_dir,dominant_breakdown,baseline_logical_input_throughput_mib_per_sec,baseline_input_throughput_mib_per_sec,baseline_logical_input_throughput_records_per_sec,baseline_logical_input_throughput_mrecords_per_sec,baseline_compaction_time_micros,baseline_compaction_time_micros_std,speedup_vs_subcomp1,speedup_vs_subcomp1_std,efficiency_vs_subcomp1
8,32,256,32,compactall,compactall,input_32sst,16,8,1,5,0.48265539999999996,482655.4,1.0,5.0,5592406.0,268435456.0,56.0,317550352.0,317843637.0,1.0,8.0,8.0,0.48265539999999996,2.0253617999999998,0.0,0.07211191800000001,0.0,14.977000297732229,85.02299970226777,420.03373152294597,317550352.0,309819709.0,5590965.0,5515113.0,5592405.333333333,268366320.0,264725424.0,628.5941152220018,613.2912296604636,531.2338292598857,531.3706846671504,1241.8853448824655,11604980.07812529,11447536.604791803,11607969.730115455,23052516.682917096,11.60498007812529,11.447536604791804,11.607969730115453,23.052516682917094,49.29204,78.15824,18.86372,1935875.33188,1335115.89812,442.6879,753.48028,33.64262,9.329220000000001,0.0,442.68792,0.0,442.68792,753.48028,0.02106119999050388,21061.199990503865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02106119999050388,0.0771159191072765,0.0,0.004813583597192009,0.0,1.2635932223612794,1.2635932223612782,16.46868656475791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.35557965641878,25.71396305578014,22.27347530655537,22.279213355162955,52.0695427121989,486571.49256347114,479970.23126887775,486696.8421479861,966541.723832349,0.4865714925634708,0.47997023126887767,0.4866968421479864,0.9665417238323485,1.1040605392821532,5.19012613472929,3.4464108851963666,161073.06576204035,85220.0436795703,33.14685213754091,9.19820907729325,0.4321822041685654,1.6329563771270803,0.0,33.146853490815694,0.0,33.146853490815694,9.19820907729325,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_32sst/sst_8MB/input_32sst/value_32/subcomp_8/repeat_01,computation,152.11178221633662,179.98961265387192,3322932.58644328,3.3229325864432795,1682608.0,10725.985735586264,3.486147673889073,0.15373654804706308,0.4357684592361341
8,32,256,64,compactall,compactall,input_32sst,16,4,1,5,0.37026719999999996,370267.2,1.0,5.0,3355444.0,268435456.0,47.0,298103713.0,298337144.0,1.0,4.0,4.0,0.37026719999999996,0.963446,0.0,0.061875527799999996,0.0,16.707361578923095,83.2926384210769,260.20914801706965,298103713.0,293721777.0,3354870.0,3327648.0,3355443.2,268389600.0,266211840.0,767.84125680145,756.5544760646279,691.3050686370968,691.4231823241676,1524.3957328660779,9061073.795640156,8987550.663338482,9062621.93535933,18048624.458978638,9.061073795640157,8.987550663338483,9.06262193535933,18.04862445897864,40.66618,78.17663999999999,10.02712,1183105.25362,1655333.43318,284.89628000000005,378.75382,19.23264,5.61538,0.0,284.89626000000004,0.0,284.89626000000004,378.75382,0.002462100274156202,2462.100274156193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002462100274156202,0.00392506264918154,0.0,0.0034066168067403376,0.0,0.8426209860850679,0.8426209860850657,1.1760386810296277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.108480613978258,5.033389180589423,4.599282091442374,4.600067906837529,10.141869794567672,60283.710228953605,59794.55769551609,60294.01006850135,120078.26792446956,0.06028371022895362,0.05979455769551633,0.06029401006850148,0.12007826792446935,1.792742785120052,5.2988997494196814,0.41468399245690657,14844.104488702553,8309.523095056307,3.812277231996638,7.617976950713369,0.4116019416863825,0.3381359099533796,0.0,3.812266611138308,0.0,3.812266611138308,7.617976950713369,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_32sst/sst_8MB/input_32sst/value_64/subcomp_4/repeat_01,computation,234.05403008405216,259.966762537258,3067792.983117688,3.0677929831176884,1093739.0,13265.835473124187,2.953918143438036,0.040858788424045084,0.738479535859509
8,32,256,128,compactall,compactall,input_32sst,16,4,1,5,0.2654372,265437.2,1.0,5.0,1864136.0,268435456.0,41.0,286983331.0,287191747.0,1.0,4.0,4.0,0.2654372,0.5872550000000001,0.0,0.06496681979999999,0.0,24.480908189666916,75.5190918103331,221.24667430638965,286983331.0,284765629.0,1863950.0,1855606.0,1864135.1111111112,268408800.0,267207264.0,1031.25509612848,1023.2859347098529,964.5087813331222,964.6045678575401,2054.5410308383334,7023338.610383054,6991898.5302494485,7024036.106567971,14015237.1406325,7.023338610383054,6.991898530249448,7.024036106567972,14.015237140632502,52.676739999999995,74.37129999999999,15.1184,1562040.2399,2250398.38024,230.43814000000003,363.44484,16.77878,8.13672,0.0,230.43814000000003,0.0,230.43814000000003,363.44484,0.0034014611801400836,3401.461180140088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034014611801400836,0.007511073345401433,0.0,0.00419323141609935,0.0,1.6177919343446525,1.617791934344652,1.598569402422318,0.0,0.0,0.0,0.0,2.3283064365386963e-10,0.0,0.0,13.180876180389662,13.079019200177118,12.327765331175213,12.32898961634269,26.259895380566768,89768.04763821086,89366.19963290289,89776.96261073745,179134.2472711145,0.0897680476382109,0.08936619963290277,0.08977696261073735,0.17913424727111454,1.9488519847335752,3.8441738472654943,0.9431905427854965,42131.17245170801,36994.17150849584,19.99784603137047,10.58764695928232,0.49450130191941905,0.6096641350776671,0.0,19.99784603137047,0.0,19.99784603137047,10.58764695928232,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_32sst/sst_8MB/input_32sst/value_128/subcomp_4/repeat_01,computation,343.30750004667857,367.0652002493155,2499888.9247843474,2.499888924784347,745866.4,13878.56206672723,2.809954294273749,0.06348536246257126,0.7024885735684373
8,32,256,256,compactall,compactall,input_32sst,16,4,1,5,0.2062086,206208.6,1.0,5.0,986896.0,268435456.0,38.0,278410014.0,278605867.0,1.0,4.0,4.0,0.2062086,0.3574888,0.0,0.0682056686,0.0,33.044799506002796,66.95520049399721,173.37004293688258,278410014.0,277351238.0,986843.0,984468.0,986895.0588235294,268421296.0,267775296.0,1287.9525382007564,1283.054534651983,1241.7437308499132,1241.809236424511,2571.0070728527394,4786995.126175288,4775474.435017053,4787247.654018633,9562469.561192341,4.786995126175288,4.7754744350170535,4.787247654018633,9.56246956119234,58.9347,75.16015999999999,15.27468,1420531.8020199998,2629796.03992,142.10322000000002,178.81718,15.888679999999999,7.95078,0.0,142.10322000000002,0.0,142.10322000000002,178.81718,0.003468954978087779,3468.954978087781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003468954978087779,0.0077866075642734275,0.0,0.005328112738202251,0.0,2.0298520400868107,2.0298520400868125,2.885629159463176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.451919733594437,21.370339414548017,20.68227365047086,20.683364700246894,42.82225914814243,79731.38152689721,79539.49484266668,79735.5875879632,159270.8763695635,0.07973138152689735,0.0795394948426668,0.07973558758796324,0.1592708763695637,4.265420341771723,2.645936955862707,0.8998774881060199,33847.934431511785,38454.61640594172,31.51785255771085,41.40068469092751,0.5967991266749643,0.3882352812406416,0.0,31.517827304520853,0.0,31.517827304520853,41.40068469092751,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_32sst/sst_8MB/input_32sst/value_256/subcomp_4/repeat_01,computation,493.3514739493403,511.7104820519027,1901898.9527496449,1.901898952749645,518916.6,4804.712628243234,2.516464395762349,0.04832198962249903,0.6291160989405873
8,32,256,512,compactall,compactall,input_32sst,16,4,1,5,0.17898160000000002,178981.6,1.0,5.0,508401.0,268435456.0,36.0,273802891.0,273990951.0,1.0,4.0,4.0,0.17898160000000002,0.23773740000000002,0.0,0.06603129020000001,0.0,36.88379121996132,63.11620878003869,132.84977886724525,273802891.0,273289188.0,508379.0,507739.0,508400.48484848486,268424112.0,268086192.0,1459.2700483820665,1456.5321978103425,1430.6031082234017,1430.6635676267645,2915.8022461924093,2841091.0697129956,2837514.410793929,2841211.138423868,5678605.480506924,2.841091069712996,2.8375144107939287,2.841211138423868,5.678605480506924,80.15168,80.15168,27.121460000000003,2554566.9704,2953643.78564,145.17838,145.17838,11.01828,12.01516,0.0,145.17838,0.0,145.17838,145.17838,0.002778429527628878,2778.4295276288726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002778429527628878,0.0038734390197859036,0.0,0.0026380128076392948,0.0,1.0888930594329271,1.0888930594329291,2.504513455060742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.929176357808096,22.88615713825379,22.478739286708397,22.479689271478964,45.81533349606181,44641.41387556726,44585.214652388684,44643.30048774695,89226.62852795588,0.0446414138755673,0.044585214652388634,0.04464330048774704,0.08922662852795578,7.532920134025053,7.532920134025053,2.2803281093737366,47229.164560393954,125987.43174878512,18.40500692489954,18.40500692489954,1.341119054223002,1.7952367961915219,0.0,18.40500692489954,0.0,18.40500692489954,18.40500692489954,compaction_wall_sum,rocksdb.compaction.times.micros,/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_32sst/sst_8MB/input_32sst/value_512/subcomp_4/repeat_01,computation,627.5169630457613,640.0913738832435,1246210.6572777883,1.2462106572777882,408000.0,4967.299588307515,2.2795639328288493,0.04497188450299602,0.5698909832072123
