job,output_level,num_output_files,total_output_size_bytes,num_input_records,num_output_records,num_subcompactions,input_summary,compaction_desc,compaction_reason,input_data_size_bytes,wall_us,cpu_us,write_io_us,read_io_us,file_write_nanos,file_fsync_nanos,file_range_sync_nanos,file_prepare_write_nanos,has_io_stats,pattern,wall_ms,cpu_ms,read_io_ms,write_io_ms,label,sst_size_mb,input_data_mb,requested_input_sst_count,value_size,requested_subcompactions,repeat_index
3,1,55,271082109,258108,257944,28,35@L0,35@L0 → 55@L1,LevelL0FilesNum,271320875,448315,800150,253782.696,0.0,250287791,0,0,3494905,True,L0->L1,448.315,800.15,0.0,253.782696,"sst=8MB, input=32sst (256MB), value=1024B, sub=32",8,256,32,1024,32,3
3,1,55,271082109,258108,257944,28,35@L0,35@L0 → 55@L1,LevelL0FilesNum,271320875,486394,806223,344708.239,0.0,341236354,0,0,3471885,True,L0->L1,486.394,806.223,0.0,344.708239,"sst=8MB, input=32sst (256MB), value=1024B, sub=32",8,256,32,1024,32,4
3,1,55,271082109,258108,257944,28,35@L0,35@L0 → 55@L1,LevelL0FilesNum,271320875,515965,943279,310650.542,0.0,306914396,0,0,3736146,True,L0->L1,515.965,943.279,0.0,310.65054200000003,"sst=8MB, input=32sst (256MB), value=1024B, sub=32",8,256,32,1024,32,5
3,1,35,271056909,258108,257944,4,35@L0,35@L0 → 35@L1,LevelL0FilesNum,271320875,194148,175864,65413.476,0.0,64726179,0,0,687297,True,L0->L1,194.148,175.864,0.0,65.413476,"sst=8MB, input=32sst (256MB), value=1024B, sub=4",8,256,32,1024,4,1
3,1,35,271056909,258108,257944,4,35@L0,35@L0 → 35@L1,LevelL0FilesNum,271320875,190647,172114,68410.248,0.0,67734863,0,0,675385,True,L0->L1,190.647,172.114,0.0,68.41024800000001,"sst=8MB, input=32sst (256MB), value=1024B, sub=4",8,256,32,1024,4,2
3,1,35,271056909,258108,257944,4,35@L0,35@L0 → 35@L1,LevelL0FilesNum,271320875,188149,177546,68179.41,0.0,67441786,0,0,737624,True,L0->L1,188.149,177.546,0.0,68.17941,"sst=8MB, input=32sst (256MB), value=1024B, sub=4",8,256,32,1024,4,3
3,1,35,271056909,258108,257944,4,35@L0,35@L0 → 35@L1,LevelL0FilesNum,271320875,188920,177955,69702.8,0.0,68974171,0,0,728629,True,L0->L1,188.92,177.955,0.0,69.7028,"sst=8MB, input=32sst (256MB), value=1024B, sub=4",8,256,32,1024,4,4
3,1,35,271056909,258108,257944,4,35@L0,35@L0 → 35@L1,LevelL0FilesNum,271320875,197568,180653,68791.126,0.0,68063464,0,0,727662,True,L0->L1,197.568,180.653,0.0,68.791126,"sst=8MB, input=32sst (256MB), value=1024B, sub=4",8,256,32,1024,4,5
3,1,35,271056922,258108,257944,7,35@L0,35@L0 → 35@L1,LevelL0FilesNum,271320875,200291,378510,118813.198,0.0,117350304,0,0,1462894,True,L0->L1,200.291,378.51,0.0,118.813198,"sst=8MB, input=32sst (256MB), value=1024B, sub=8",8,256,32,1024,8,1
3,1,35,271056922,258108,257944,7,35@L0,35@L0 → 35@L1,LevelL0FilesNum,271320875,217516,453973,124826.603,0.0,122922321,0,0,1904282,True,L0->L1,217.516,453.973,0.0,124.826603,"sst=8MB, input=32sst (256MB), value=1024B, sub=8",8,256,32,1024,8,2
3,1,35,271056922,258108,257944,7,35@L0,35@L0 → 35@L1,LevelL0FilesNum,271320875,192305,323978,104827.558,0.0,103138721,0,0,1688837,True,L0->L1,192.305,323.978,0.0,104.82755800000001,"sst=8MB, input=32sst (256MB), value=1024B, sub=8",8,256,32,1024,8,3
3,1,35,271056922,258108,257944,7,35@L0,35@L0 → 35@L1,LevelL0FilesNum,271320875,218122,323185,127242.973,0.0,125979892,0,0,1263081,True,L0->L1,218.122,323.185,0.0,127.24297299999999,"sst=8MB, input=32sst (256MB), value=1024B, sub=8",8,256,32,1024,8,4
3,1,35,271056922,258108,257944,7,35@L0,35@L0 → 35@L1,LevelL0FilesNum,271320875,215962,447087,109945.721,0.0,108209446,0,0,1736275,True,L0->L1,215.962,447.087,0.0,109.945721,"sst=8MB, input=32sst (256MB), value=1024B, sub=8",8,256,32,1024,8,5
3,1,34,284763269,1863950,1855606,1,41@L0,41@L0 → 34@L1,LevelL0FilesNum,286983331,749623,518273,52331.132,179018.86800000002,51726815,0,0,604317,True,L0->L1,749.623,518.273,179.01886800000003,52.331132,"sst=8MB, input=32sst (256MB), value=128B, sub=1",8,256,32,128,1,1
3,1,34,284763269,1863950,1855606,1,41@L0,41@L0 → 34@L1,LevelL0FilesNum,286983331,745880,528470,53926.84,163483.16,53318904,0,0,607936,True,L0->L1,745.88,528.47,163.48316,53.92684,"sst=8MB, input=32sst (256MB), value=128B, sub=1",8,256,32,128,1,2
3,1,34,284763269,1863950,1855606,1,41@L0,41@L0 → 34@L1,LevelL0FilesNum,286983331,749729,529388,54433.644,165907.356,53821478,0,0,612166,True,L0->L1,749.729,529.388,165.907356,54.433644,"sst=8MB, input=32sst (256MB), value=128B, sub=1",8,256,32,128,1,3
3,1,34,284763269,1863950,1855606,1,41@L0,41@L0 → 34@L1,LevelL0FilesNum,286983331,748934,527309,54013.082,167611.918,53411917,0,0,601165,True,L0->L1,748.934,527.309,167.611918,54.013082000000004,"sst=8MB, input=32sst (256MB), value=128B, sub=1",8,256,32,128,1,4
3,1,34,284763269,1863950,1855606,1,41@L0,41@L0 → 34@L1,LevelL0FilesNum,286983331,753799,533350,53924.338,166524.662,53292568,0,0,631770,True,L0->L1,753.799,533.35,166.524662,53.924338000000006,"sst=8MB, input=32sst (256MB), value=128B, sub=1",8,256,32,128,1,5
3,1,47,284779348,1863950,1855606,16,41@L0,41@L0 → 47@L1,LevelL0FilesNum,286983331,372290,1514895,104307.255,0.0,101388750,0,0,2918505,True,L0->L1,372.29,1514.895,0.0,104.307255,"sst=8MB, input=32sst (256MB), value=128B, sub=16",8,256,32,128,16,1
3,1,47,284779348,1863950,1855606,16,41@L0,41@L0 → 47@L1,LevelL0FilesNum,286983331,394810,1502989,134867.904,0.0,132659915,0,0,2207989,True,L0->L1,394.81,1502.989,0.0,134.867904,"sst=8MB, input=32sst (256MB), value=128B, sub=16",8,256,32,128,16,2
3,1,47,284779348,1863950,1855606,16,41@L0,41@L0 → 47@L1,LevelL0FilesNum,286983331,384761,1557926,210884.785,0.0,208343292,0,0,2541493,True,L0->L1,384.761,1557.926,0.0,210.884785,"sst=8MB, input=32sst (256MB), value=128B, sub=16",8,256,32,128,16,3
3,1,47,284779348,1863950,1855606,16,41@L0,41@L0 → 47@L1,LevelL0FilesNum,286983331,374585,1463925,124518.09,0.0,122531536,0,0,1986554,True,L0->L1,374.585,1463.925,0.0,124.51809,"sst=8MB, input=32sst (256MB), value=128B, sub=16",8,256,32,128,16,4
