secs_elapsed,foreground,rocksdb_compaction,rocksdb_flush,rocksdb_other_bg,other,sst_size_mb,input_data_mb,requested_input_sst_count,value_size,requested_subcompactions,repeat_index
0.101,0.0,49.7622,0.0,0.0,0.0,8,256,32,1024,1,1
0.201,0.0,59.6847,0.0,0.0,0.0,8,256,32,1024,1,1
0.302,0.0,59.6195,0.0,0.0,0.0,8,256,32,1024,1,1
0.101,0.0,49.7701,0.0,0.0,0.0,8,256,32,1024,1,2
0.201,0.0,59.6557,0.0,0.0,0.0,8,256,32,1024,1,2
0.302,0.0,49.6898,0.0,0.0,0.0,8,256,32,1024,1,2
0.101,0.0,59.7536,0.0,0.0,0.0,8,256,32,1024,1,3
0.201,0.0,69.6099,0.0,0.0,0.0,8,256,32,1024,1,3
0.302,0.0,49.6948,0.0,0.0,0.0,8,256,32,1024,1,3
0.101,0.0,59.7114,0.0,0.0,0.0,8,256,32,1024,1,4
0.201,0.0,49.7483,0.0,0.0,0.0,8,256,32,1024,1,4
0.302,0.0,59.6177,0.0,0.0,0.0,8,256,32,1024,1,4
0.101,0.0,59.7004,0.0,0.0,0.0,8,256,32,1024,1,5
0.201,0.0,49.6975,0.0,0.0,0.0,8,256,32,1024,1,5
0.302,0.0,49.6852,0.0,0.0,0.0,8,256,32,1024,1,5
0.103,0.0,265.3413,0.0,0.0,0.0,8,256,32,1024,16,1
0.209,0.0,508.7741,0.0,0.0,0.0,8,256,32,1024,16,1
0.311,0.0,49.0299,0.0,0.0,0.0,8,256,32,1024,16,1
0.104,0.0,241.9302,0.0,0.0,0.0,8,256,32,1024,16,2
0.207,0.0,593.9209,0.0,0.0,0.0,8,256,32,1024,16,2
0.102,0.0,246.7607,0.0,0.0,0.0,8,256,32,1024,16,3
0.205,0.0,475.3935,0.0,0.0,0.0,8,256,32,1024,16,3
0.307,0.0,88.0405,0.0,0.0,0.0,8,256,32,1024,16,3
0.102,0.0,266.0299,0.0,0.0,0.0,8,256,32,1024,16,4
0.211,0.0,606.9678,0.0,0.0,0.0,8,256,32,1024,16,4
0.312,0.0,29.6567,0.0,0.0,0.0,8,256,32,1024,16,4
