secs_elapsed,device,rps,wps,rkib_per_sec,wkib_per_sec,util_pct,avg_queue_depth,read_await_ms,write_await_ms,ios_in_progress,sst_size_mb,input_data_mb,requested_input_sst_count,value_size,requested_subcompactions,repeat_index
0.101,nvme1n1,6230.2262,11833.4488,732205.8395,1424910.4527,48.7669,4.7374,0.4792,0.1472,0,8,256,32,1024,1,1
0.201,nvme1n1,7251.6949,13250.0104,862852.2162,1594815.8161,43.7688,4.1481,0.2963,0.1494,0,8,256,32,1024,1,1
0.302,nvme1n1,7194.0841,12778.4422,843928.6675,1548278.1919,51.6702,3.9349,0.297,0.1392,0,8,256,32,1024,1,1
0.101,nvme1n1,6679.1462,12253.3963,804468.8127,1479286.5395,43.7977,5.0268,0.4799,0.147,0,8,256,32,1024,1,2
0.201,nvme1n1,7655.8152,13541.8446,903525.3935,1628123.4483,42.7533,4.3449,0.3,0.1505,0,8,256,32,1024,1,2
0.302,nvme1n1,7960.2991,13764.0627,919494.047,1670092.6098,51.6773,4.4323,0.3246,0.1336,0,8,256,32,1024,1,2
0.101,nvme1n1,7279.9751,13583.9753,869294.7503,1571160.0333,48.7987,4.6209,0.3475,0.1525,0,8,256,32,1024,1,3
0.201,nvme1n1,4544.5332,10013.8839,534057.234,1128714.8737,39.7771,3.3512,0.4004,0.1529,0,8,256,32,1024,1,3
0.302,nvme1n1,7225.6294,14719.6108,853707.6121,1690300.3222,47.707,4.4129,0.3026,0.1499,0,8,256,32,1024,1,3
0.101,nvme1n1,6667.7693,12240.8302,796171.4584,1477617.4779,42.7931,4.4087,0.3881,0.1472,0,8,256,32,1024,1,4
0.201,nvme1n1,7472.1913,13432.035,884106.4919,1614550.5036,47.7583,4.6465,0.3529,0.1481,0,8,256,32,1024,1,4
0.302,nvme1n1,8117.9437,14149.2678,939853.1914,1718738.5888,47.6942,4.1931,0.2815,0.1341,0,8,256,32,1024,1,4
0.101,nvme1n1,5890.4439,12208.7411,703679.1981,1402841.0626,45.7703,4.8954,0.5152,0.1516,0,8,256,32,1024,1,5
0.201,nvme1n1,7166.378,13577.3542,841641.9005,1552867.6481,46.7156,4.2939,0.3107,0.1508,0,8,256,32,1024,1,5
0.302,nvme1n1,8794.2884,14756.5178,1011358.0668,1704839.8734,52.6664,4.6108,0.2881,0.1394,0,8,256,32,1024,1,5
0.103,nvme1n1,40037.0523,11871.5658,4804126.8785,1461067.4112,67.8094,64.1733,1.4116,0.6449,0,8,256,32,1024,16,1
0.209,nvme1n1,25495.2343,11447.4167,3078907.5714,1428486.8618,62.1835,21.1424,0.6892,0.3119,0,8,256,32,1024,16,1
0.311,nvme1n1,4128.3166,18268.5362,368567.4724,2095027.4927,46.0881,9.7177,0.5582,0.401,0,8,256,32,1024,16,1
