secs_elapsed,device,rps,wps,rkib_per_sec,wkib_per_sec,util_pct,avg_queue_depth,read_await_ms,write_await_ms,ios_in_progress,sst_size_mb,input_data_mb,requested_input_sst_count,value_size,requested_subcompactions,repeat_index
0.104,nvme1n1,38699.1627,11670.7152,4641697.962,1432536.7484,67.7405,71.4856,1.6479,0.6617,0,8,256,32,1024,16,2
0.207,nvme1n1,29939.4557,13027.3144,3582438.4323,1628862.1727,70.1021,40.8734,1.0826,0.6495,0,8,256,32,1024,16,2
0.102,nvme1n1,39975.2284,11854.3825,4757491.412,1434607.3073,76.0023,83.2965,1.8151,0.9067,0,8,256,32,1024,16,3
0.205,nvme1n1,32685.7281,13456.5464,3899808.047,1673385.0925,67.9134,55.0777,1.4779,0.5032,0,8,256,32,1024,16,3
0.307,nvme1n1,420.6377,17774.3904,2455.3506,2027082.6537,34.238,11.9931,0.4186,0.6604,0,8,256,32,1024,16,3
0.102,nvme1n1,40416.8369,11793.9917,4821757.2169,1446571.996,83.7501,79.6316,1.7357,0.8037,0,8,256,32,1024,16,4
0.211,nvme1n1,27322.7486,12406.0545,3272844.0847,1557369.0814,73.5719,42.9752,1.1508,0.9296,0,8,256,32,1024,16,4
0.312,nvme1n1,1285.1257,17349.1971,52279.9025,1956119.5013,31.6339,12.8216,0.6308,0.6877,0,8,256,32,1024,16,4
0.102,nvme1n1,42082.9917,12472.3159,5023094.8013,1513924.5532,69.8922,88.33,1.8433,0.8619,0,8,256,32,1024,16,5
0.206,nvme1n1,25089.811,8696.0095,3021474.5651,1076231.9546,53.7502,18.5342,0.6477,0.2638,0,8,256,32,1024,16,5
0.308,nvme1n1,3775.3861,21301.8523,326772.9773,2468964.527,50.2728,13.0216,0.5744,0.5044,0,8,256,32,1024,16,5
0.101,nvme1n1,11473.4591,23056.3789,1372118.2425,2727717.8881,55.7254,10.4386,0.5698,0.1679,0,8,256,32,1024,2,1
0.201,nvme1n1,9972.8468,18672.9874,1144501.0021,2189810.4591,51.7037,6.7513,0.3958,0.1486,0,8,256,32,1024,2,1
0.101,nvme1n1,11597.0704,23482.8232,1385416.888,2716242.9314,66.6956,9.5663,0.4918,0.1636,0,8,256,32,1024,2,2
0.201,nvme1n1,9621.418,19690.5752,1099985.7759,2235870.2861,64.6734,6.8554,0.4012,0.1506,0,8,256,32,1024,2,2
0.101,nvme1n1,11040.8604,20478.8548,1325918.7335,2500112.7482,56.7474,10.2046,0.5771,0.1862,0,8,256,32,1024,2,3
0.201,nvme1n1,9580.2811,19230.2008,1099871.9833,2309414.8068,60.6851,7.3021,0.4694,0.1449,0,8,256,32,1024,2,3
0.101,nvme1n1,10715.1324,21281.029,1283646.9957,2600444.2433,67.6536,10.4167,0.6305,0.1711,0,8,256,32,1024,2,4
0.201,nvme1n1,9570.2469,18653.0279,1099901.9069,2211065.2685,51.7311,7.3319,0.4501,0.16,0,8,256,32,1024,2,4
0.101,nvme1n1,10995.1616,20875.8815,1325210.5126,2548648.6151,63.6824,8.8857,0.505,0.1587,0,8,256,32,1024,2,5
0.201,nvme1n1,9543.7683,19206.8337,1099143.8663,2298497.2998,64.6193,7.1678,0.426,0.1599,0,8,256,32,1024,2,5
0.102,nvme1n1,49250.9195,7426.0998,5852851.4673,897522.5643,79.8823,176.7767,3.4055,1.2191,0,8,256,32,1024,32,1
0.205,nvme1n1,46926.7888,7067.8167,5619504.9249,864694.6631,83.9547,152.5926,3.1396,0.7431,0,8,256,32,1024,32,1
0.311,nvme1n1,39936.9671,8425.5998,4814257.0404,1037552.4378,74.2882,125.6317,2.9418,0.9676,0,8,256,32,1024,32,1
0.415,nvme1n1,1176.1104,15173.7524,86767.064,1706247.0078,36.6329,6.0541,0.5738,0.3494,0,8,256,32,1024,32,1
0.516,nvme1n1,2940.8508,5297.4921,236461.2341,540482.8208,32.6761,2.2972,0.3569,0.2299,0,8,256,32,1024,32,1
0.103,nvme1n1,48772.7657,7363.4049,5800331.269,893635.3519,76.3757,188.8243,3.623,1.6449,0,8,256,32,1024,32,2
0.205,nvme1n1,48435.2528,7202.487,5784651.8812,888005.8025,77.52,114.8767,2.1742,1.3297,0,8,256,32,1024,32,2
0.315,nvme1n1,37416.8173,9329.1504,4500048.732,1161479.2308,65.5956,127.2372,3.1626,0.9531,0,8,256,32,1024,32,2
0.421,nvme1n1,2899.9342,13934.7489,265668.8131,1557001.0556,38.603,6.5908,0.3831,0.3892,0,8,256,32,1024,32,2
0.106,nvme1n1,44350.2513,7005.6936,5249326.939,859977.5954,66.0373,151.2828,3.1552,1.6216,0,8,256,32,1024,32,3
0.208,nvme1n1,50692.8675,7678.3632,6047572.9058,935193.3019,80.3094,195.4555,3.7007,1.023,0,8,256,32,1024,32,3
0.316,nvme1n1,42782.8364,7504.3033,5131702.0006,918017.2121,77.5352,145.8955,3.197,1.2153,0,8,256,32,1024,32,3
0.418,nvme1n1,1572.8522,20741.9881,109323.0567,2356918.989,45.2195,11.3147,0.7688,0.4839,0,8,256,32,1024,32,3
0.103,nvme1n1,46037.4383,7143.9098,5475895.3378,856561.6694,82.5431,191.1168,3.9368,1.3851,0,8,256,32,1024,32,4
0.205,nvme1n1,49173.9431,7587.7286,5839654.441,913180.2142,89.7264,164.1017,3.1672,1.099,0,8,256,32,1024,32,4
0.314,nvme1n1,40212.8676,7806.3529,4814203.6796,949016.2939,73.8189,151.2181,3.4683,1.5059,0,8,256,32,1024,32,4
0.419,nvme1n1,2563.3894,17243.7597,227153.1913,1925663.5233,39.7278,11.3603,0.9262,0.5156,0,8,256,32,1024,32,4
0.104,nvme1n1,48849.2744,7436.1177,5762918.3954,902119.509,77.6618,188.2328,3.6216,1.5222,0,8,256,32,1024,32,5
0.206,nvme1n1,49409.4102,7361.9728,5881222.5581,890328.7898,77.3399,176.981,3.4125,1.1383,0,8,256,32,1024,32,5
0.313,nvme1n1,37047.9334,9315.6017,4470602.936,1160766.8634,68.072,111.61,2.7614,0.998,0,8,256,32,1024,32,5
0.417,nvme1n1,1579.2695,13818.6081,130694.1801,1542869.2558,32.741,8.8786,0.5793,0.5707,0,8,256,32,1024,32,5
0.519,nvme1n1,3002.2657,5016.944,246328.987,536417.9717,23.7021,1.9159,0.2993,0.1969,0,8,256,32,1024,32,5
0.101,nvme1n1,20770.5558,25778.9879,2455137.4416,3169112.8493,76.6698,24.5045,0.8298,0.2808,0,8,256,32,1024,4,1
0.201,nvme1n1,15845.652,18372.2029,1803768.3606,2027208.9639,59.6823,10.1858,0.4765,0.1408,0,8,256,32,1024,4,1
0.101,nvme1n1,19265.9458,25694.562,2287841.0119,3174422.8171,71.6502,22.5499,0.7872,0.2866,0,8,256,32,1024,4,2
0.101,nvme1n1,20025.9927,28316.3764,2381261.3023,3485972.3033,81.4145,23.8584,0.8319,0.2535,0,8,256,32,1024,4,3
0.202,nvme1n1,15743.7278,14539.5615,1804428.2489,1660276.6073,46.7734,9.504,0.4595,0.1513,0,8,256,32,1024,4,3
0.101,nvme1n1,20686.8247,28040.15,2455970.8698,3434550.2151,77.6129,26.4282,0.9384,0.2498,0,8,256,32,1024,4,4
0.201,nvme1n1,15837.2417,16066.0461,1803863.8195,1782286.5725,51.7297,9.8983,0.4629,0.1567,0,8,256,32,1024,4,4
0.101,nvme1n1,20238.1432,26506.5947,2403135.2367,3261704.1368,76.6144,23.4321,0.8368,0.2451,0,8,256,32,1024,4,5
0.202,nvme1n1,15750.2626,16921.3596,1799608.923,1896859.5991,59.5473,9.6764,0.4575,0.1437,0,8,256,32,1024,4,5
0.101,nvme1n1,33281.3059,18597.7924,3998704.1949,2305490.4379,81.4647,52.1871,1.3293,0.4274,0,8,256,32,1024,8,1
0.202,nvme1n1,3983.2551,23770.3975,408978.9761,2815813.6695,52.6465,10.8571,1.0848,0.2716,0,8,256,32,1024,8,1
0.102,nvme1n1,32605.1349,18087.7355,3917696.2989,2242210.3776,72.7837,47.2111,1.2066,0.435,0,8,256,32,1024,8,2
0.203,nvme1n1,4829.3477,24532.6906,543192.7607,2889058.314,55.4187,9.7082,0.5963,0.2755,0,8,256,32,1024,8,2
0.101,nvme1n1,32000.4864,17783.5674,3840475.6379,2203811.2072,77.4926,50.0324,1.2862,0.4989,0,8,256,32,1024,8,3
0.102,nvme1n1,28684.251,16715.212,3451548.2,2069449.8112,70.0579,30.9833,0.8366,0.4179,0,8,256,32,1024,8,4
0.203,nvme1n1,9409.3315,27199.0036,1094712.8966,3199053.9932,63.3225,15.6723,0.7802,0.3027,0,8,256,32,1024,8,4
0.102,nvme1n1,31211.2276,17369.127,3755657.4662,2148215.2041,80.7866,42.9647,1.1184,0.4634,0,8,256,32,1024,8,5
0.203,nvme1n1,4948.8715,24497.4078,556417.13,2897253.1007,51.3655,9.2359,0.6527,0.2407,0,8,256,32,1024,8,5
0.101,nvme1n1,7475.9128,8630.6476,863159.3301,1064307.1744,38.823,4.4895,0.4048,0.1684,0,8,256,32,128,1,1
0.201,nvme1n1,59.719,4090.7522,238.876,487346.9304,11.9438,0.4678,0.1667,0.1095,0,8,256,32,128,1,1
0.302,nvme1n1,6931.8823,8871.2181,824784.592,1065063.3232,31.825,3.5007,0.2912,0.1659,0,8,256,32,128,1,1
0.402,nvme1n1,228.7913,4207.7696,20824.9781,506324.9989,17.9054,0.5372,0.2609,0.1087,0,8,256,32,128,1,1
0.503,nvme1n1,6873.3051,9310.2947,824945.8205,1141625.1488,42.7717,3.6605,0.3111,0.1635,0,8,256,32,128,1,1
0.603,nvme1n1,59.696,4099.1253,238.784,488233.6798,11.9392,0.4577,0.1667,0.1068,0,8,256,32,128,1,1
0.704,nvme1n1,2685.5408,4833.9735,269598.4603,588471.6217,25.8608,1.1737,0.263,0.0905,0,8,256,32,128,1,1
0.101,nvme1n1,7245.2539,9076.472,856198.9268,1112783.4245,34.833,3.7819,0.3132,0.1667,0,8,256,32,128,1,2
0.201,nvme1n1,59.6373,4015.5793,238.5493,476780.4596,9.9396,0.4572,0.1667,0.1089,0,8,256,32,128,1,2
0.302,nvme1n1,6964.698,8931.9023,823960.5323,1074173.0201,28.8126,3.5569,0.2981,0.1646,0,8,256,32,128,1,2
0.403,nvme1n1,238.7195,4107.9654,20863.0929,487704.0142,22.8773,0.557,0.2917,0.1138,0,8,256,32,128,1,2
0.503,nvme1n1,6832.391,9249.0882,824770.0368,1139925.2586,42.7646,4.0577,0.3712,0.1645,0,8,256,32,128,1,2
0.604,nvme1n1,59.6797,4336.7216,238.7186,477994.2511,6.9626,0.5272,0.1667,0.1147,0,8,256,32,128,1,2
0.704,nvme1n1,2685.1119,5022.1537,269555.3962,588496.9609,20.8842,1.0641,0.2037,0.101,0,8,256,32,128,1,2
0.101,nvme1n1,7246.2465,8978.179,855091.922,1110746.0671,31.8516,3.7824,0.3159,0.1663,0,8,256,32,128,1,3
0.201,nvme1n1,59.6697,4017.7612,238.6789,476880.405,10.9394,0.4774,0.1667,0.1114,0,8,256,32,128,1,3
0.302,nvme1n1,6951.7782,9000.5139,824785.2154,1075327.6978,30.8305,3.6499,0.3076,0.168,0,8,256,32,128,1,3
0.402,nvme1n1,228.7792,4555.691,20863.6723,487677.7709,6.9628,0.6366,0.2609,0.1223,0,8,256,32,128,1,3
0.503,nvme1n1,6879.3152,9607.1478,825667.153,1143141.0764,39.8224,3.7433,0.3155,0.1637,0,8,256,32,128,1,3
0.603,nvme1n1,49.7374,4416.677,198.9494,475847.2079,17.9054,0.5272,0.0,0.1149,0,8,256,32,128,1,3
0.704,nvme1n1,2686.966,5115.1872,269741.535,578633.1604,36.8214,1.1345,0.2111,0.1051,0,8,256,32,128,1,3
0.101,nvme1n1,6938.0704,9018.4962,834763.3523,1091337.5772,33.8442,4.1409,0.3802,0.1656,0,8,256,32,128,1,4
0.201,nvme1n1,49.7362,4416.5751,198.9448,475637.2912,8.9525,0.5372,0.0,0.1171,0,8,256,32,128,1,4
0.302,nvme1n1,6908.4113,9035.6056,824357.3604,1074690.3533,39.7606,3.8667,0.341,0.1661,0,8,256,32,128,1,4
0.402,nvme1n1,238.8694,4259.8385,20876.1944,508234.5614,17.9152,0.5574,0.2917,0.1121,0,8,256,32,128,1,4
0.503,nvme1n1,6921.4014,9158.9233,824750.605,1121585.2443,35.8004,3.759,0.319,0.1672,0,8,256,32,128,1,4
0.603,nvme1n1,49.781,3962.5678,199.124,476145.3367,7.965,0.4779,0.2,0.1156,0,8,256,32,128,1,4
0.704,nvme1n1,2685.3024,4833.5443,269574.5216,588498.9335,21.8802,1.0741,0.2222,0.0967,0,8,256,32,128,1,4
0.101,nvme1n1,7265.3528,9026.952,857460.9146,1106005.6471,41.8007,3.6128,0.2904,0.1654,0,8,256,32,128,1,5
0.201,nvme1n1,59.6824,4098.1889,238.7295,487246.814,7.9576,0.4675,0.1667,0.1092,0,8,256,32,128,1,5
0.302,nvme1n1,6976.3592,8993.7395,824164.4229,1074359.3237,29.8135,3.6869,0.3134,0.1657,0,8,256,32,128,1,5
0.402,nvme1n1,228.7766,4555.6382,20863.4303,487672.1148,11.9362,0.6266,0.3478,0.1179,0,8,256,32,128,1,5
0.503,nvme1n1,6871.8638,9556.9626,824733.0532,1140033.26,31.8234,4.1271,0.3719,0.1644,0,8,256,32,128,1,5
0.604,nvme1n1,59.669,4127.1092,238.6762,447358.7426,6.9614,0.5569,0.1667,0.1205,0,8,256,32,128,1,5
0.704,nvme1n1,2685.2103,5201.3518,269565.2776,588478.7532,22.874,1.1039,0.2148,0.0994,0,8,256,32,128,1,5
0.102,nvme1n1,44554.6154,10049.3229,5357349.0172,1242347.5486,67.7152,79.6487,1.6491,0.6143,0,8,256,32,128,16,1
0.204,nvme1n1,41274.2861,10505.6449,5003458.5919,1292420.7748,73.8447,53.5817,1.1756,0.4817,0,8,256,32,128,16,1
0.305,nvme1n1,8992.2601,15790.8041,1053808.8942,1940470.4475,52.3725,9.7927,0.7385,0.1984,0,8,256,32,128,16,1
0.102,nvme1n1,44426.488,10307.6554,5334290.5809,1246151.1511,68.0601,94.3767,1.9716,0.6584,0,8,256,32,128,16,2
0.204,nvme1n1,42455.6585,10454.1035,5110778.1421,1278331.3212,77.6928,58.7023,1.2868,0.3895,0,8,256,32,128,16,2
0.306,nvme1n1,9485.1994,15154.8505,1122717.7727,1835795.9364,44.8888,8.8899,0.6451,0.1809,0,8,256,32,128,16,2
0.407,nvme1n1,791.9149,9473.2815,26187.6345,1032261.0176,20.7878,4.3555,0.3625,0.4232,0,8,256,32,128,16,2
0.102,nvme1n1,45560.2654,10419.9656,5443890.337,1269463.0283,75.8353,88.5106,1.8141,0.5614,0,8,256,32,128,16,3
0.204,nvme1n1,42998.678,10343.6966,5188830.2841,1268761.1751,76.7658,70.8214,1.4607,0.7735,0,8,256,32,128,16,3
0.306,nvme1n1,9200.8041,14243.5525,1086756.5149,1748388.6968,52.0986,17.5759,1.4156,0.3175,0,8,256,32,128,16,3
0.102,nvme1n1,44781.0932,10591.7877,5372233.5508,1281970.8679,72.9109,95.198,1.9452,0.7637,0,8,256,32,128,16,4
0.204,nvme1n1,41917.3586,10135.2713,5038507.7883,1243207.5127,68.8137,60.5265,1.3225,0.5024,0,8,256,32,128,16,4
0.305,nvme1n1,9423.0397,16347.0972,1107794.8728,1975005.9107,46.4238,13.4135,0.8868,0.3076,0,8,256,32,128,16,4
0.103,nvme1n1,44504.6708,10567.2741,5339580.5851,1285169.6216,67.9536,86.5177,1.78,0.6906,0,8,256,32,128,16,5
0.204,nvme1n1,43395.5102,10659.2377,5209111.3389,1300702.8388,78.8114,61.6305,1.331,0.3632,0,8,256,32,128,16,5
0.306,nvme1n1,9354.6564,16085.6854,1104812.4293,1978627.735,51.0969,16.6261,1.1261,0.3763,0,8,256,32,128,16,5
0.101,nvme1n1,14178.217,16806.7628,1693370.9666,2047159.2986,48.7874,10.6834,0.5288,0.1896,0,8,256,32,128,2,1
0.201,nvme1n1,99.4723,7868.2602,397.8893,889282.5074,20.8892,0.9947,0.3,0.1201,0,8,256,32,128,2,1
0.302,nvme1n1,11555.3384,12629.3286,1366682.292,1515996.7551,41.7663,6.2053,0.3985,0.1252,0,8,256,32,128,2,1
0.402,nvme1n1,109.46,7831.3661,437.84,924917.18,14.9264,0.8856,0.1818,0.1067,0,8,256,32,128,2,1
0.101,nvme1n1,12625.0874,15870.9695,1510808.7674,1919053.1167,49.7835,10.2853,0.5497,0.2108,0,8,256,32,128,2,2
0.201,nvme1n1,119.2885,8151.382,477.1541,911722.1336,18.8873,0.9543,0.25,0.111,0,8,256,32,128,2,2
0.302,nvme1n1,11465.6501,12788.2272,1366659.7452,1537888.7379,45.7433,6.4041,0.4189,0.1236,0,8,256,32,128,2,2
0.402,nvme1n1,298.5315,7552.848,21613.6836,892529.7,18.907,0.9453,0.2667,0.112,0,8,256,32,128,2,2
0.101,nvme1n1,14121.9354,16781.0022,1698884.7635,2063834.2154,52.783,10.8554,0.5381,0.1935,0,8,256,32,128,2,3
0.201,nvme1n1,99.4802,7759.4583,397.9209,929821.8575,16.9116,0.8754,0.2,0.1077,0,8,256,32,128,2,3
0.302,nvme1n1,11349.1781,12263.4726,1363262.8716,1494394.5744,53.6651,7.046,0.4764,0.1329,0,8,256,32,128,2,3
0.402,nvme1n1,139.2766,7799.4874,3526.6815,930844.9493,8.9535,0.9948,0.6429,0.1135,0,8,256,32,128,2,3
0.101,nvme1n1,13108.3439,16196.1757,1574853.973,1993265.1401,51.7959,9.8213,0.519,0.1851,0,8,256,32,128,2,4
0.201,nvme1n1,119.386,7799.8829,477.5439,923012.6781,12.9335,0.8854,0.3333,0.1071,0,8,256,32,128,2,4
0.302,nvme1n1,11364.7514,11822.1255,1366405.0451,1451824.6248,47.726,7.3677,0.5004,0.1405,0,8,256,32,128,2,4
0.402,nvme1n1,129.247,7884.0669,1019.0629,935589.1918,24.8552,0.8848,0.2308,0.1072,0,8,256,32,128,2,4
0.101,nvme1n1,13076.799,16251.4557,1574928.2771,2001606.1175,55.7307,9.315,0.4886,0.1794,0,8,256,32,128,2,5
0.201,nvme1n1,119.3003,7873.8197,477.2012,932252.2937,16.9009,0.8948,0.1667,0.1086,0,8,256,32,128,2,5
0.302,nvme1n1,11359.6792,12592.0503,1365874.7029,1536727.0601,46.7108,6.7283,0.4497,0.1271,0,8,256,32,128,2,5
0.403,nvme1n1,288.4464,7340.4631,21603.6393,871346.7868,18.8982,0.8653,0.2759,0.1043,0,8,256,32,128,2,5
0.103,nvme1n1,50435.6209,6023.488,6049548.6598,717376.7128,75.9098,187.7435,3.5491,1.4534,0,8,256,32,128,32,1
0.205,nvme1n1,49416.7295,6103.496,5913424.088,731006.4897,78.5016,171.1334,3.3854,0.6286,0,8,256,32,128,32,1
0.307,nvme1n1,50179.1,6141.992,6085675.8169,729395.6763,82.8681,171.927,3.2864,1.1429,0,8,256,32,128,32,1
0.415,nvme1n1,34021.3283,4362.6588,4129344.5147,526408.9658,65.7641,155.4626,4.456,0.8832,0,8,256,32,128,32,1
0.517,nvme1n1,4008.5626,23401.3385,400875.9586,2671534.6178,47.2754,15.4433,0.6192,0.5505,0,8,256,32,128,32,1
0.62,nvme1n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,256,32,128,32,1
0.103,nvme1n1,50482.7926,6231.3463,6069602.8343,736938.1675,74.0651,226.6788,4.338,1.233,0,8,256,32,128,32,2
0.205,nvme1n1,51029.3569,6073.0607,6079930.7691,729784.3482,82.1477,207.7358,3.9672,0.8712,0,8,256,32,128,32,2
0.307,nvme1n1,50668.344,5935.0993,6123384.7513,715262.5822,73.3332,185.6601,3.5241,1.196,0,8,256,32,128,32,2
0.414,nvme1n1,35446.7423,5423.0326,4299048.0831,661122.0881,52.5415,111.2566,2.9582,1.1799,0,8,256,32,128,32,2
0.515,nvme1n1,1567.1997,22887.0294,110635.4271,2555067.7501,51.2543,9.2751,0.5472,0.3609,0,8,256,32,128,32,2
0.617,nvme1n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,256,32,128,32,2
0.105,nvme1n1,47466.9493,5746.5573,5700454.7204,685575.8614,76.1708,171.5675,3.4617,1.2617,0,8,256,32,128,32,3
0.208,nvme1n1,49612.2753,5894.9117,5912000.1952,715456.1299,78.5342,170.9234,3.3043,1.1859,0,8,256,32,128,32,3
0.311,nvme1n1,51057.2202,6035.7966,6162432.0838,729178.4853,81.3815,187.4778,3.5469,1.0578,0,8,256,32,128,32,3
0.416,nvme1n1,30290.9511,6021.9821,3674747.83,736053.9137,53.3593,91.9115,2.9361,0.4953,0,8,256,32,128,32,3
0.521,nvme1n1,5593.897,16523.511,611432.0627,1842294.9826,40.1613,16.2845,0.865,0.6881,0,8,256,32,128,32,3
0.621,nvme1n1,2512.4272,5392.2845,276203.1386,564928.691,25.8194,1.8868,0.3874,0.1657,0,8,256,32,128,32,3
0.103,nvme1n1,49593.2353,6175.8355,5921403.824,733324.0071,83.4572,196.1147,3.8363,0.9491,0,8,256,32,128,32,4
0.205,nvme1n1,49803.0548,6050.019,5960247.8093,739485.7343,78.9133,164.354,3.177,1.0113,0,8,256,32,128,32,4
0.308,nvme1n1,51267.6185,6001.5858,6128801.8717,715654.9011,79.174,192.5493,3.613,1.2199,0,8,256,32,128,32,4
0.413,nvme1n1,34769.8936,5255.4713,4210408.4685,638577.8481,62.8372,130.1681,3.5884,1.029,0,8,256,32,128,32,4
0.514,nvme1n1,4712.6667,19352.433,497402.7845,2169125.3686,51.1605,14.6693,0.6013,0.6065,0,8,256,32,128,32,4
0.615,nvme1n1,1013.519,3090.2394,111561.6181,367013.1308,8.9428,0.7154,0.3235,0.1254,0,8,256,32,128,32,4
0.105,nvme1n1,47078.9805,5939.6932,5633417.602,705974.9585,76.2721,166.6165,3.4109,1.0193,0,8,256,32,128,32,5
0.208,nvme1n1,50487.1721,6319.3773,6025477.7713,766079.1103,69.7845,174.597,3.3678,0.7209,0,8,256,32,128,32,5
0.31,nvme1n1,50864.3287,6296.6463,6092172.313,754418.7796,80.5499,198.8208,3.787,0.9844,0,8,256,32,128,32,5
0.417,nvme1n1,33042.8916,4764.5416,4004185.3455,580506.5062,56.1636,147.083,4.3425,0.7525,0,8,256,32,128,32,5
0.518,nvme1n1,5302.5751,17878.9429,574235.3768,2029250.1675,42.3812,10.9501,0.6729,0.409,0,8,256,32,128,32,5
0.619,nvme1n1,3500.6801,5360.4163,342435.1313,580118.3789,28.8408,1.7503,0.267,0.1466,0,8,256,32,128,32,5
0.101,nvme1n1,25471.8686,22342.5244,3077675.2811,2781639.3168,75.5016,28.2038,0.9052,0.2308,0,8,256,32,128,4,1
0.202,nvme1n1,198.6624,14144.7604,794.6495,1705158.8076,28.806,2.086,0.3,0.1404,0,8,256,32,128,4,1
0.101,nvme1n1,25229.4256,21737.498,3051885.0302,2711725.5189,65.6602,26.5128,0.845,0.2394,0,8,256,32,128,4,2
0.201,nvme1n1,198.8215,14653.1467,795.2861,1727838.6166,30.8173,2.2765,0.3,0.1479,0,8,256,32,128,4,2
0.101,nvme1n1,25194.7519,21916.255,3038794.0662,2720715.2908,73.5178,27.5294,0.8955,0.2267,0,8,256,32,128,4,3
0.202,nvme1n1,198.3492,14320.8152,793.397,1729407.0274,32.7276,2.0033,0.3,0.135,0,8,256,32,128,4,3
0.101,nvme1n1,26777.392,22332.6419,3223146.6588,2775583.0931,83.1535,29.668,0.9091,0.2385,0,8,256,32,128,4,4
0.202,nvme1n1,198.5236,14412.8158,794.0945,1735573.0121,31.7638,2.0944,0.25,0.1391,0,8,256,32,128,4,4
0.101,nvme1n1,25577.5052,21934.95,3087194.9295,2729328.8077,66.6807,27.0704,0.8327,0.2627,0,8,256,32,128,4,5
0.202,nvme1n1,198.4225,14226.8945,793.6901,1713616.5429,31.7476,1.9941,0.25,0.1353,0,8,256,32,128,4,5
0.101,nvme1n1,34788.9785,15385.7159,4198931.4933,1902075.2454,79.3589,53.5673,1.3601,0.4062,0,8,256,32,128,8,1
0.202,nvme1n1,15697.3067,15598.4572,1902087.5352,1912857.1924,53.3788,24.1193,1.3105,0.2262,0,8,256,32,128,8,1
0.101,nvme1n1,35925.5686,15983.4141,4339491.9919,1962901.8129,75.2161,57.1642,1.3953,0.4402,0,8,256,32,128,8,2
0.202,nvme1n1,13777.0027,12430.0061,1664996.8365,1509824.8006,39.6175,12.4795,0.6916,0.2351,0,8,256,32,128,8,2
0.303,nvme1n1,696.6686,17098.2388,26105.169,1984191.892,32.8429,2.6573,0.1714,0.1461,0,8,256,32,128,8,2
0.101,nvme1n1,36750.2053,16186.7634,4441951.5571,1992510.1831,78.4031,53.2546,1.2755,0.3936,0,8,256,32,128,8,3
0.203,nvme1n1,13734.7624,15629.2124,1658970.8419,1886359.1087,48.3479,22.5459,1.444,0.1723,0,8,256,32,128,8,3
0.102,nvme1n1,33078.8594,15024.1791,4003775.9059,1842228.9043,69.0994,35.0729,0.9248,0.2983,0,8,256,32,128,8,4
