secs_elapsed,cpu_pct,sst_size_mb,input_data_mb,requested_input_sst_count,value_size,requested_subcompactions,repeat_index
0.103,256.057,8,256,32,128,16,5
0.204,295.5426,8,256,32,128,16,5
0.306,1228.29,8,256,32,128,16,5
0.101,109.5227,8,256,32,128,2,1
0.201,179.0502,8,256,32,128,2,1
0.302,139.2209,8,256,32,128,2,1
0.402,179.1164,8,256,32,128,2,1
0.101,119.4803,8,256,32,128,2,2
0.201,178.9328,8,256,32,128,2,2
0.302,129.2745,8,256,32,128,2,2
0.402,89.5595,8,256,32,128,2,2
0.101,109.5496,8,256,32,128,2,3
0.201,169.1164,8,256,32,128,2,3
0.302,139.1318,8,256,32,128,2,3
0.402,179.0699,8,256,32,128,2,3
0.101,109.5682,8,256,32,128,2,4
0.201,189.0278,8,256,32,128,2,4
0.302,129.2579,8,256,32,128,2,4
0.402,169.0153,8,256,32,128,2,4
0.101,109.4709,8,256,32,128,2,5
0.201,188.8921,8,256,32,128,2,5
0.302,119.2617,8,256,32,128,2,5
0.403,89.5178,8,256,32,128,2,5
0.103,325.3275,8,256,32,128,32,1
0.205,372.8824,8,256,32,128,32,1
0.307,438.7137,8,256,32,128,32,1
0.415,620.5905,8,256,32,128,32,1
0.517,1112.9424,8,256,32,128,32,1
0.62,106.7065,8,256,32,128,32,1
0.103,316.0112,8,256,32,128,32,2
0.205,312.9435,8,256,32,128,32,2
0.307,488.8879,8,256,32,128,32,2
0.414,684.9159,8,256,32,128,32,2
0.515,906.8074,8,256,32,128,32,2
0.617,49.0774,8,256,32,128,32,2
0.105,308.54,8,256,32,128,32,3
0.208,387.8231,8,256,32,128,32,3
0.311,406.9076,8,256,32,128,32,3
0.416,733.6909,8,256,32,128,32,3
0.521,621.5441,8,256,32,128,32,3
0.621,427.0133,8,256,32,128,32,3
0.103,225.8255,8,256,32,128,32,4
0.205,399.4376,8,256,32,128,32,4
0.308,459.4048,8,256,32,128,32,4
0.413,637.8924,8,256,32,128,32,4
0.514,855.9541,8,256,32,128,32,4
0.615,129.174,8,256,32,128,32,4
0.105,9.534,8,256,32,128,32,5
0.208,348.9227,8,256,32,128,32,5
0.31,324.1643,8,256,32,128,32,5
0.417,636.5203,8,256,32,128,32,5
0.518,650.5018,8,256,32,128,32,5
0.619,0.0,8,256,32,128,32,5
0.101,119.2131,8,256,32,128,4,1
0.202,377.4585,8,256,32,128,4,1
0.101,159.1762,8,256,32,128,4,2
0.201,328.0555,8,256,32,128,4,2
0.101,149.0226,8,256,32,128,4,3
0.202,347.1112,8,256,32,128,4,3
0.101,29.6977,8,256,32,128,4,4
0.202,357.3425,8,256,32,128,4,4
0.101,159.2374,8,256,32,128,4,5
0.202,327.3972,8,256,32,128,4,5
0.101,158.7179,8,256,32,128,8,1
0.202,504.1326,8,256,32,128,8,1
0.101,158.3496,8,256,32,128,8,2
0.202,544.7413,8,256,32,128,8,2
0.303,0.0,8,256,32,128,8,2
0.101,158.7911,8,256,32,128,8,3
0.203,522.9471,8,256,32,128,8,3
0.102,217.1695,8,256,32,128,8,4
0.204,491.0653,8,256,32,128,8,4
0.305,158.4652,8,256,32,128,8,4
0.101,158.766,8,256,32,128,8,5
0.202,583.4428,8,256,32,128,8,5
0.101,59.747,8,256,32,256,1,1
0.201,69.663,8,256,32,256,1,1
0.302,69.5653,8,256,32,256,1,1
0.402,69.6786,8,256,32,256,1,1
0.503,79.5406,8,256,32,256,1,1
0.101,59.7183,8,256,32,256,1,2
0.201,69.5763,8,256,32,256,1,2
0.302,79.5219,8,256,32,256,1,2
0.403,69.6352,8,256,32,256,1,2
0.503,79.6055,8,256,32,256,1,2
0.101,59.6978,8,256,32,256,1,3
0.201,59.6353,8,256,32,256,1,3
0.302,79.5474,8,256,32,256,1,3
0.403,69.6271,8,256,32,256,1,3
0.503,69.6199,8,256,32,256,1,3
0.101,59.7605,8,256,32,256,1,4
0.201,79.5906,8,256,32,256,1,4
0.302,69.6296,8,256,32,256,1,4
0.402,79.5517,8,256,32,256,1,4
0.503,59.7073,8,256,32,256,1,4
0.101,59.7144,8,256,32,256,1,5
0.201,69.6098,8,256,32,256,1,5
0.302,79.5152,8,256,32,256,1,5
0.402,69.6663,8,256,32,256,1,5
0.503,69.5913,8,256,32,256,1,5
0.102,305.5659,8,256,32,256,16,1
0.21,407.2717,8,256,32,256,16,1
0.312,785.2677,8,256,32,256,16,1
0.102,207.4484,8,256,32,256,16,2
0.205,387.7107,8,256,32,256,16,2
