sst_size_mb,input_data_mb,value_size,requested_subcompactions,pattern,count,avg_wall_ms,avg_cpu_ms,avg_input_mb,avg_output_mb,avg_subcompactions
8,32,32,1,L0->L1,5,181.62060000000002,146.41379999999998,37.85503959655762,37.64024829864502,1.0
8,32,32,2,L0->L1,5,102.9786,153.98499999999999,37.85503959655762,37.64146614074707,2.0
8,32,32,4,L0->L1,5,62.1414,164.8718,37.85503959655762,37.6439323425293,4.0
8,32,32,8,L0->L1,5,59.4652,170.4074,37.85503959655762,37.64152431488037,5.0
8,32,32,16,L0->L1,5,65.0296,195.356,37.85503959655762,37.64152431488037,5.0
8,32,32,32,L0->L1,5,60.62479999999999,179.0788,37.85503959655762,37.64152431488037,5.0
8,32,64,1,L0->L1,5,121.8416,90.6858,35.53715896606445,35.43803882598877,1.0
8,32,64,2,L0->L1,5,70.0278,96.0352,35.53715896606445,35.43934345245361,2.0
8,32,64,4,L0->L1,5,45.757600000000004,100.5686,35.53715896606445,35.44178009033203,4.0
8,32,64,8,L0->L1,5,59.7562,175.1894,35.53715896606445,35.439109802246094,5.0
8,32,64,16,L0->L1,5,53.52479999999999,156.07319999999999,35.53715896606445,35.439109802246094,5.0
8,32,64,32,L0->L1,5,58.1896,169.3616,35.53715896606445,35.439109802246094,5.0
8,32,128,1,L0->L1,5,90.2148,57.5508,34.21314239501953,34.168487548828125,1.0
8,32,128,2,L0->L1,5,52.3174,60.372,34.21314239501953,34.16961097717285,2.0
8,32,128,4,L0->L1,5,36.1092,65.7818,34.21314239501953,34.172011375427246,4.0
8,32,128,8,L0->L1,5,40.199,86.34200000000001,34.21314239501953,34.17186641693115,5.0
8,32,128,16,L0->L1,5,39.3374,82.0922,34.21314239501953,34.17186641693115,5.0
8,32,128,32,L0->L1,5,40.2242,88.1316,34.21314239501953,34.17186641693115,5.0
8,32,256,1,L0->L1,5,67.4114,37.419,33.19027614593506,33.16625499725342,1.0
8,32,256,2,L0->L1,5,42.7436,40.8026,33.19027614593506,33.167585372924805,2.0
8,32,256,4,L0->L1,5,27.714199999999998,43.055,33.19027614593506,33.17012310028076,4.0
8,32,256,8,L0->L1,5,32.5284,60.2404,33.19027614593506,33.1687068939209,5.0
8,32,256,16,L0->L1,5,29.6858,52.154999999999994,33.19027614593506,33.1687068939209,5.0
8,32,256,32,L0->L1,5,35.7542,72.8188,33.19027614593506,33.1687068939209,5.0
8,32,512,1,L0->L1,5,56.806,27.428000000000004,32.64165210723877,32.62790298461914,1.0
8,32,512,2,L0->L1,5,32.5178,26.166199999999996,32.64165210723877,32.6278772354126,2.0
8,32,512,4,L0->L1,5,29.8542,44.6782,32.64165210723877,32.63040637969971,4.0
8,32,512,8,L0->L1,5,31.981,58.5172,32.64165210723877,32.63033103942871,5.0
8,32,512,16,L0->L1,5,30.258,42.5868,32.64165210723877,32.63033103942871,5.0
8,32,512,32,L0->L1,5,31.466199999999997,46.9444,32.64165210723877,32.63033103942871,5.0
8,32,1024,1,L0->L1,5,48.427,19.355,32.34571838378906,32.33607196807861,1.0
8,32,1024,2,L0->L1,5,32.3994,20.8624,32.34571838378906,32.33605766296387,2.0
8,32,1024,4,L0->L1,5,25.7522,31.4366,32.34571838378906,32.33838748931885,4.0
8,32,1024,8,L0->L1,5,27.0978,29.655,32.34571838378906,32.33848762512207,4.0
8,32,1024,16,L0->L1,5,27.819799999999997,38.403,32.34571838378906,32.33848762512207,4.0
8,32,1024,32,L0->L1,5,25.7158,30.3728,32.34571838378906,32.33848762512207,4.0
