job,output_level,num_output_files,total_output_size_bytes,num_input_records,num_output_records,num_subcompactions,input_summary,compaction_desc,compaction_reason,input_data_size_bytes,wall_us,cpu_us,write_io_us,read_io_us,file_write_nanos,file_fsync_nanos,file_range_sync_nanos,file_prepare_write_nanos,has_io_stats,pattern,wall_ms,cpu_ms,read_io_ms,write_io_ms,label,sst_size_mb,input_data_mb,requested_input_sst_count,value_size,requested_subcompactions,repeat_index
3,1,5,33906829,32264,32261,1,5@L0,5@L0 → 5@L1,ManualCompaction,33916944,48986,19775,7103.083,22107.917,7005488,0,0,97595,True,L0->L1,48.986,19.775,22.107917,7.103083,"sst=8MB, input=4sst (32MB), value=1024B, sub=1",8,32,4,1024,1,1
3,1,5,33906829,32264,32261,1,5@L0,5@L0 → 5@L1,ManualCompaction,33916944,51909,21786,7007.969,23115.031,6891543,0,0,116426,True,L0->L1,51.909,21.786,23.115031,7.007969,"sst=8MB, input=4sst (32MB), value=1024B, sub=1",8,32,4,1024,1,2
3,1,5,33906829,32264,32261,1,5@L0,5@L0 → 5@L1,ManualCompaction,33916944,49267,21027,7235.885,21004.114999999998,7126612,0,0,109273,True,L0->L1,49.267,21.027,21.004115,7.235885000000001,"sst=8MB, input=4sst (32MB), value=1024B, sub=1",8,32,4,1024,1,3
3,1,5,33906829,32264,32261,1,5@L0,5@L0 → 5@L1,ManualCompaction,33916944,45203,20038,7482.936,17682.064,7370673,0,0,112263,True,L0->L1,45.203,20.038,17.682063999999997,7.482936,"sst=8MB, input=4sst (32MB), value=1024B, sub=1",8,32,4,1024,1,4
3,1,5,33906829,32264,32261,1,5@L0,5@L0 → 5@L1,ManualCompaction,33916944,45431,19419,7310.303,18701.697,7217583,0,0,92720,True,L0->L1,45.431,19.419,18.701697,7.310303,"sst=8MB, input=4sst (32MB), value=1024B, sub=1",8,32,4,1024,1,5
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,37591,53192,15657.769,0.0,15363554,0,0,294215,True,L0->L1,37.591,53.192,0.0,15.657769,"sst=8MB, input=4sst (32MB), value=1024B, sub=16",8,32,4,1024,16,1
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,31789,38684,10580.115,0.0,10323555,0,0,256560,True,L0->L1,31.789,38.684,0.0,10.580115,"sst=8MB, input=4sst (32MB), value=1024B, sub=16",8,32,4,1024,16,2
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,28311,29031,7861.352,0.0,7687548,0,0,173804,True,L0->L1,28.311,29.031,0.0,7.861352,"sst=8MB, input=4sst (32MB), value=1024B, sub=16",8,32,4,1024,16,3
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,25684,24532,8171.514,0.0,8012987,0,0,158527,True,L0->L1,25.684,24.532,0.0,8.171514,"sst=8MB, input=4sst (32MB), value=1024B, sub=16",8,32,4,1024,16,4
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,26992,21098,7781.798,0.0,7661961,0,0,119837,True,L0->L1,26.992,21.098,0.0,7.781798,"sst=8MB, input=4sst (32MB), value=1024B, sub=16",8,32,4,1024,16,5
3,1,5,33906814,32264,32261,2,5@L0,5@L0 → 5@L1,ManualCompaction,33916944,37396,20836,7108.144,9451.856,7005199,0,0,102945,True,L0->L1,37.396,20.836,9.451856,7.108144,"sst=8MB, input=4sst (32MB), value=1024B, sub=2",8,32,4,1024,2,1
3,1,5,33906814,32264,32261,2,5@L0,5@L0 → 5@L1,ManualCompaction,33916944,28184,19979,7468.105,736.8950000000004,7373872,0,0,94233,True,L0->L1,28.184,19.979,0.7368950000000004,7.4681049999999995,"sst=8MB, input=4sst (32MB), value=1024B, sub=2",8,32,4,1024,2,2
3,1,5,33906814,32264,32261,2,5@L0,5@L0 → 5@L1,ManualCompaction,33916944,31524,20664,7375.243,3484.7569999999996,7275740,0,0,99503,True,L0->L1,31.524,20.664,3.4847569999999997,7.375243,"sst=8MB, input=4sst (32MB), value=1024B, sub=2",8,32,4,1024,2,3
3,1,5,33906814,32264,32261,2,5@L0,5@L0 → 5@L1,ManualCompaction,33916944,29341,20519,7826.774,995.2259999999997,7731703,0,0,95071,True,L0->L1,29.341,20.519,0.9952259999999996,7.826774,"sst=8MB, input=4sst (32MB), value=1024B, sub=2",8,32,4,1024,2,4
3,1,5,33906814,32264,32261,2,5@L0,5@L0 → 5@L1,ManualCompaction,33916944,29065,20580,7466.811,1018.1890000000003,7366962,0,0,99849,True,L0->L1,29.065,20.58,1.0181890000000002,7.466811,"sst=8MB, input=4sst (32MB), value=1024B, sub=2",8,32,4,1024,2,5
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,24101,27095,8903.42,0.0,8737093,0,0,166327,True,L0->L1,24.101,27.095,0.0,8.90342,"sst=8MB, input=4sst (32MB), value=1024B, sub=32",8,32,4,1024,32,1
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,25367,32916,10008.719,0.0,9817897,0,0,190822,True,L0->L1,25.367,32.916,0.0,10.008719,"sst=8MB, input=4sst (32MB), value=1024B, sub=32",8,32,4,1024,32,2
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,28518,39002,10620.526,0.0,10419342,0,0,201184,True,L0->L1,28.518,39.002,0.0,10.620526,"sst=8MB, input=4sst (32MB), value=1024B, sub=32",8,32,4,1024,32,3
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,27402,28152,10859.116,0.0,10702374,0,0,156742,True,L0->L1,27.402,28.152,0.0,10.859116,"sst=8MB, input=4sst (32MB), value=1024B, sub=32",8,32,4,1024,32,4
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,50741,97542,17127.853,0.0,16498511,0,0,629342,True,L0->L1,50.741,97.542,0.0,17.127852999999998,"sst=8MB, input=4sst (32MB), value=1024B, sub=32",8,32,4,1024,32,5
3,1,7,33909257,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,22053,23210,9249.061,0.0,9111411,0,0,137650,True,L0->L1,22.053,23.21,0.0,9.249061,"sst=8MB, input=4sst (32MB), value=1024B, sub=4",8,32,4,1024,4,1
3,1,7,33909257,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,28746,36064,11052.689,0.0,10858100,0,0,194589,True,L0->L1,28.746,36.064,0.0,11.052689,"sst=8MB, input=4sst (32MB), value=1024B, sub=4",8,32,4,1024,4,2
3,1,7,33909257,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,21415,21048,8871.811,0.0,8747137,0,0,124674,True,L0->L1,21.415,21.048,0.0,8.871811,"sst=8MB, input=4sst (32MB), value=1024B, sub=4",8,32,4,1024,4,3
3,1,7,33909257,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,28239,24411,18037.532,0.0,17886067,0,0,151465,True,L0->L1,28.239,24.411,0.0,18.037532,"sst=8MB, input=4sst (32MB), value=1024B, sub=4",8,32,4,1024,4,4
3,1,7,33909257,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,25586,21708,9968.817,0.0,9832434,0,0,136383,True,L0->L1,25.586,21.708,0.0,9.968817,"sst=8MB, input=4sst (32MB), value=1024B, sub=4",8,32,4,1024,4,5
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,21190,22162,8336.046,0.0,8205569,0,0,130477,True,L0->L1,21.19,22.162,0.0,8.336046,"sst=8MB, input=4sst (32MB), value=1024B, sub=8",8,32,4,1024,8,1
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,21586,20696,7587.2,0.0,7468762,0,0,118438,True,L0->L1,21.586,20.696,0.0,7.5872,"sst=8MB, input=4sst (32MB), value=1024B, sub=8",8,32,4,1024,8,2
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,28522,25299,18841.554,0.0,18683706,0,0,157848,True,L0->L1,28.522,25.299,0.0,18.841554,"sst=8MB, input=4sst (32MB), value=1024B, sub=8",8,32,4,1024,8,3
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,26968,25553,9662.771,0.0,9507199,0,0,155572,True,L0->L1,26.968,25.553,0.0,9.662771000000001,"sst=8MB, input=4sst (32MB), value=1024B, sub=8",8,32,4,1024,8,4
3,1,7,33909362,32264,32261,4,5@L0,5@L0 → 7@L1,ManualCompaction,33916944,34574,58894,15222.86,0.0,14818244,0,0,404616,True,L0->L1,34.574,58.894,0.0,15.22286,"sst=8MB, input=4sst (32MB), value=1024B, sub=8",8,32,4,1024,8,5
3,1,5,35828256,232992,232883,1,6@L0,6@L0 → 5@L1,ManualCompaction,35875080,84897,57278,7592.976,20026.024,7499864,0,0,93112,True,L0->L1,84.897,57.278,20.026024,7.592975999999999,"sst=8MB, input=4sst (32MB), value=128B, sub=1",8,32,4,128,1,1
3,1,5,35828256,232992,232883,1,6@L0,6@L0 → 5@L1,ManualCompaction,35875080,91301,58524,7552.718,25224.282,7447151,0,0,105567,True,L0->L1,91.301,58.524,25.224282,7.552718,"sst=8MB, input=4sst (32MB), value=128B, sub=1",8,32,4,128,1,2
3,1,5,35828256,232992,232883,1,6@L0,6@L0 → 5@L1,ManualCompaction,35875080,92217,59447,7530.495,25239.505,7430248,0,0,100247,True,L0->L1,92.217,59.447,25.239505,7.530495,"sst=8MB, input=4sst (32MB), value=128B, sub=1",8,32,4,128,1,3
3,1,5,35828256,232992,232883,1,6@L0,6@L0 → 5@L1,ManualCompaction,35875080,91360,57760,7437.61,26162.39,7341999,0,0,95611,True,L0->L1,91.36,57.76,26.16239,7.437609999999999,"sst=8MB, input=4sst (32MB), value=128B, sub=1",8,32,4,128,1,4
3,1,5,35828256,232992,232883,1,6@L0,6@L0 → 5@L1,ManualCompaction,35875080,93575,57920,7494.219,28160.781,7396084,0,0,98135,True,L0->L1,93.575,57.92,28.160781,7.494219,"sst=8MB, input=4sst (32MB), value=128B, sub=1",8,32,4,128,1,5
3,1,8,35831799,232992,232883,5,6@L0,6@L0 → 8@L1,ManualCompaction,35875080,60388,163212,12202.062,0.0,11852490,0,0,349572,True,L0->L1,60.388,163.212,0.0,12.202062,"sst=8MB, input=4sst (32MB), value=128B, sub=16",8,32,4,128,16,1
3,1,8,35831799,232992,232883,5,6@L0,6@L0 → 8@L1,ManualCompaction,35875080,33947,74694,8081.404,0.0,7924078,0,0,157326,True,L0->L1,33.947,74.694,0.0,8.081404000000001,"sst=8MB, input=4sst (32MB), value=128B, sub=16",8,32,4,128,16,2
3,1,8,35831799,232992,232883,5,6@L0,6@L0 → 8@L1,ManualCompaction,35875080,52746,140922,13324.603,0.0,13031941,0,0,292662,True,L0->L1,52.746,140.922,0.0,13.324603,"sst=8MB, input=4sst (32MB), value=128B, sub=16",8,32,4,128,16,3
3,1,8,35831799,232992,232883,5,6@L0,6@L0 → 8@L1,ManualCompaction,35875080,39713,73326,9068.782,0.0,8919120,0,0,149662,True,L0->L1,39.713,73.326,0.0,9.068781999999999,"sst=8MB, input=4sst (32MB), value=128B, sub=16",8,32,4,128,16,4
