run_dir,benchmark,parsed_benchmark_name,elapsed_source,benchmark_elapsed_s,compaction_time_source,compaction_time_micros,compaction_time_count,sst_size_mb,input_data_mb,requested_input_sst_count,input_path_component,value_size,key_size,requested_subcompactions,compaction_runs,repeat_index,requested_bg_threads,preload_entries,target_logical_input_bytes,preload_sst_count,preload_sst_bytes,preload_db_bytes,compaction_count,actual_subcompactions_avg,actual_subcompactions_max,total_compaction_wall_s,total_compaction_cpu_s,total_compaction_read_io_s,total_compaction_write_io_s,read_pct,write_pct,compute_pct,cpu_resource_pct,total_input_bytes,total_output_bytes,total_input_records,total_output_records,target_logical_input_records,total_logical_input_bytes,total_logical_output_bytes,input_throughput_mib_per_sec,output_throughput_mib_per_sec,logical_input_throughput_mib_per_sec,logical_target_throughput_mib_per_sec,total_rw_throughput_mib_per_sec,logical_input_throughput_records_per_sec,logical_output_throughput_records_per_sec,logical_target_throughput_records_per_sec,total_rw_throughput_records_per_sec,logical_input_throughput_mrecords_per_sec,logical_output_throughput_mrecords_per_sec,logical_target_throughput_mrecords_per_sec,total_rw_throughput_mrecords_per_sec,avg_device_util_pct,max_device_util_pct,avg_device_queue_depth,avg_device_rkib_per_sec,avg_device_wkib_per_sec,avg_process_cpu_pct,max_process_cpu_pct,avg_system_cpu_busy_pct,avg_system_cpu_iowait_pct,avg_foreground_cpu_pct,avg_compaction_cpu_pct,avg_flush_cpu_pct,avg_background_cpu_pct,max_compaction_cpu_pct,dominant_breakdown
/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_128/subcomp_16/repeat_03,compactall,compactall,compaction_wall_sum,0.036516,rocksdb.compaction.times.micros,36516.0,1,8,32,4,input_4sst,128,16,16,5,3,1,233017,33554432,6,35875080,35936952,1,5.0,5,0.036516,0.07954,0.0,0.007938556,0.0,21.739938657027054,78.26006134297295,217.82232446051046,35875080.0,35831799.0,232992.0,232883.0,233016.88888888888,33550848.0,33535152.0,936.9356554666319,935.8053022491827,876.2345829567861,876.328184905247,1872.7409577158146,6380545.514295104,6377560.52141527,6381227.102883363,12758106.035710374,6.380545514295104,6.37756052141527,6.381227102883363,12.758106035710373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,computation
/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_128/subcomp_16/repeat_04,compactall,compactall,compaction_wall_sum,0.035994,rocksdb.compaction.times.micros,35994.0,1,8,32,4,input_4sst,128,16,16,5,4,1,233017,33554432,6,35875080,35936952,1,5.0,5,0.035994,0.070216,0.0,0.007303876,0.0,20.291926432183143,79.70807356781685,195.07695727065624,35875080.0,35831799.0,232992.0,232883.0,233016.88888888888,33550848.0,33535152.0,950.5234871095053,949.3767410382607,888.9421023295549,889.037061732511,1899.900228147766,6473078.846474413,6470050.563982886,6473770.319744648,12943129.410457298,6.4730788464744125,6.470050563982887,6.473770319744649,12.943129410457297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,computation
/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_128/subcomp_16/repeat_05,compactall,compactall,compaction_wall_sum,0.03897,rocksdb.compaction.times.micros,38970.0,1,8,32,4,input_4sst,128,16,16,5,5,1,233017,33554432,6,35875080,35936952,1,5.0,5,0.03897,0.070425,0.0,0.007357524999999999,0.0,18.87997177315884,81.12002822684116,180.715935334873,35875080.0,35831799.0,232992.0,232883.0,233016.88888888888,33550848.0,33535152.0,877.9353963310119,876.8762231699039,821.056762413395,821.1444701052092,1754.8116195009159,5978752.886836028,5975955.863484732,5979391.554757221,11954708.75032076,5.978752886836028,5.975955863484732,5.97939155475722,11.95470875032076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,computation
/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_128/subcomp_32/repeat_01,compactall,compactall,compaction_wall_sum,0.035155,rocksdb.compaction.times.micros,35155.0,1,8,32,4,input_4sst,128,16,32,5,1,1,233017,33554432,6,35875080,35936952,1,5.0,5,0.035155,0.068449,0.0,0.00807169,0.0,22.96029014364955,77.03970985635044,194.7063006684682,35875080.0,35831799.0,232992.0,232883.0,233016.88888888888,33550848.0,33535152.0,973.2084310914388,972.0343170795379,910.1573611506187,910.254586829754,1945.2427481709767,6627563.646707439,6624463.09202105,6628271.622497194,13252026.738728488,6.627563646707439,6.62446309202105,6.628271622497194,13.252026738728487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,computation
/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_128/subcomp_32/repeat_02,compactall,compactall,compaction_wall_sum,0.042727,rocksdb.compaction.times.micros,42727.0,1,8,32,4,input_4sst,128,16,32,5,2,1,233017,33554432,6,35875080,35936952,1,5.0,5,0.042727,0.102148,0.0,0.00789611,0.0,18.480375406651532,81.51962459334847,239.07131322114822,35875080.0,35831799.0,232992.0,232883.0,233016.88888888888,33550848.0,33535152.0,800.7382309785272,799.7721912825883,748.8609551630117,748.9409506869192,1600.5104222611155,5453039.061951459,5450487.981838182,5453621.571579771,10903527.04378964,5.4530390619514595,5.450487981838181,5.453621571579771,10.90352704378964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,computation
/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_128/subcomp_32/repeat_03,compactall,compactall,compaction_wall_sum,0.041314,rocksdb.compaction.times.micros,41314.0,1,8,32,4,input_4sst,128,16,32,5,3,1,233017,33554432,6,35875080,35936952,1,5.0,5,0.041314,0.096787,0.0,0.008768551,0.0,21.224163721740815,78.77583627825919,234.27167546110277,35875080.0,35831799.0,232992.0,232883.0,233016.88888888888,33550848.0,33535152.0,828.1246646419987,827.1255849574273,774.4731091458102,774.5558406351358,1655.250249599426,5639541.075664424,5636902.7448322605,5640143.507984918,11276443.820496686,5.639541075664424,5.636902744832261,5.640143507984917,11.276443820496686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,computation
/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_128/subcomp_32/repeat_04,compactall,compactall,compaction_wall_sum,0.045761,rocksdb.compaction.times.micros,45761.0,1,8,32,4,input_4sst,128,16,32,5,4,1,233017,33554432,6,35875080,35936952,1,5.0,5,0.045761,0.104484,0.0,0.008243376,0.0,18.013976967286553,81.98602303271345,228.32542995126852,35875080.0,35831799.0,232992.0,232883.0,233016.88888888888,33550848.0,33535152.0,747.6484865938141,746.746496294468,699.2107259729901,699.2854177137737,1494.3949828882821,5091497.126373986,5089115.1854198985,5092041.015032208,10180612.311793884,5.091497126373985,5.089115185419899,5.0920410150322075,10.180612311793885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,computation
/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_128/subcomp_32/repeat_05,compactall,compactall,compaction_wall_sum,0.036164,rocksdb.compaction.times.micros,36164.0,1,8,32,4,input_4sst,128,16,32,5,5,1,233017,33554432,6,35875080,35936952,1,5.0,5,0.036164,0.06879,0.0,0.007581313,0.0,20.963701471076206,79.0362985289238,190.21679017807764,35875080.0,35831799.0,232992.0,232883.0,233016.88888888888,33550848.0,33535152.0,946.0552592362441,944.9139037974546,884.7633566875899,884.8578697046786,1890.9691630336988,6442650.149319765,6439636.102201084,6443338.372107313,12882286.25152085,6.442650149319765,6.439636102201083,6.443338372107313,12.88228625152085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,computation
/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_256/subcomp_1/repeat_01,compactall,compactall,compaction_wall_sum,0.06631,rocksdb.compaction.times.micros,66310.0,1,8,32,4,input_4sst,256,16,1,5,1,1,123362,33554432,5,34802527,34860271,1,1.0,1,0.06631,0.037346,0.022224221,0.006739779,33.5156401749359,10.164046146885841,56.320313678178266,56.32031367817826,34802527.0,34777339.0,123356.0,123318.0,123361.88235294117,33552832.0,33542496.0,500.53198832657307,500.1697330305146,482.55880140391724,482.58181269793397,1000.7017213570876,1860292.5652239483,1859719.4993213695,1860381.2751159882,3720012.064545318,1.8602925652239484,1.8597194993213695,1.8603812751159883,3.720012064545318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,computation
/home/1755_project/invalidation-aware-caching/presentation_figures/compaction_parallelism/final-speedup-cpu-8mb-sst_4sst/sst_8MB/input_4sst/value_256/subcomp_1/repeat_02,compactall,compactall,compaction_wall_sum,0.0768,rocksdb.compaction.times.micros,76800.0,1,8,32,4,input_4sst,256,16,1,5,2,1,123362,33554432,5,34802527,34860271,1,1.0,1,0.0768,0.039786,0.030331525,0.006682475,39.49417317708334,8.701139322916667,51.80468749999999,51.8046875,34802527.0,34777339.0,123356.0,123318.0,123361.88235294117,33552832.0,33542496.0,432.16505398352945,431.8522786100706,416.6467984517416,416.6666666666667,864.0173325936,1606197.9166666667,1605703.1250000002,1606274.5098039217,3211901.041666667,1.6061979166666667,1.6057031250000002,1.6062745098039217,3.211901041666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,computation
