sst_size_mb,input_data_mb,requested_input_sst_count,input_path_component,value_size,requested_subcompactions,num_repeats,compaction_time_micros,compaction_time_micros_std,speedup_vs_subcomp1,speedup_vs_subcomp1_std,compaction_time_variance_micros2
8,32,4,input_4sst,32,1,5,183385.4,2429.0254506694655,1.0,0.0,5900164.64
8,32,4,input_4sst,32,2,5,101250.2,1759.1678032524358,1.8112102494612357,0.039570462102154785,3094671.3600000003
8,32,4,input_4sst,32,4,5,62464.2,2067.2798939669487,2.9358480537651968,0.10465589094099151,4273646.159999999
8,32,4,input_4sst,32,8,5,69205.8,10142.950288747352,2.6498559369301415,0.3899513438288675,102879440.55999999
8,32,4,input_4sst,32,16,5,68455.4,11273.657802150996,2.6789033443672814,0.44260297378352903,127095360.24000002
8,32,4,input_4sst,32,32,5,70090.4,7598.953759564536,2.616412518690149,0.28577134290050443,57744098.239999995
8,32,4,input_4sst,64,1,5,126160.2,2768.679064102591,1.0,0.0,7665583.759999999
8,32,4,input_4sst,64,2,5,73058.0,2464.100728460588,1.7268499000793889,0.06948707518954995,6071792.4
8,32,4,input_4sst,64,4,5,47957.8,1246.900220546937,2.6306502800378664,0.08950447859270341,1554760.16
8,32,4,input_4sst,64,8,5,55741.8,6927.896575440484,2.263296126066973,0.2856464158738339,47995750.95999999
8,32,4,input_4sst,64,16,5,61802.4,11252.664015245457,2.0413479088190747,0.3743682591494743,126622447.44
8,32,4,input_4sst,64,32,5,63625.0,8406.830246888538,1.9828715127701375,0.26558783772016253,70674794.8
8,32,4,input_4sst,128,1,5,90670.0,3001.133919037936,1.0,0.0,9006804.799999999
8,32,4,input_4sst,128,2,5,52895.6,2166.1449258994653,1.714131232087357,0.09025824038076057,4692183.84
8,32,4,input_4sst,128,4,5,35357.0,913.3006076862098,2.5644144016743504,0.10766907727547854,834118.0000000001
8,32,4,input_4sst,128,8,5,46783.8,6926.106334730936,1.9380640307114856,0.29400432696170475,47970948.96000001
8,32,4,input_4sst,128,16,5,45825.6,9493.2788561171,1.9785883872769807,0.4150853700751224,90122343.44
8,32,4,input_4sst,128,32,5,39269.4,5401.727967974693,2.3089224688943553,0.32667080514583186,29178665.040000003
8,32,4,input_4sst,256,1,5,67060.0,3314.446680820194,1.0,0.0,10985556.800000003
8,32,4,input_4sst,256,2,5,41771.2,1302.7947497591474,1.6054123415176007,0.0938250921236142,1697274.1599999995
8,32,4,input_4sst,256,4,5,30333.8,1168.359430997157,2.2107352194581624,0.13852650819510154,1365063.7600000005
8,32,4,input_4sst,256,8,5,40988.8,4532.819934654364,1.63605667889765,0.19817420557337165,20546456.559999995
8,32,4,input_4sst,256,16,5,39577.8,5103.025510420264,1.694384225500154,0.2339691061298767,26040869.36
8,32,4,input_4sst,256,32,5,35091.8,6098.70928639823,1.9109877521244278,0.3452856492923418,37194254.96000001
8,32,4,input_4sst,512,1,5,56088.4,4199.640584621498,1.0,0.0,17636981.040000003
8,32,4,input_4sst,512,2,5,34753.8,2616.7477066006954,1.6138781946146896,0.17137143677549238,6847368.56
8,32,4,input_4sst,512,4,5,26574.2,2251.552477736195,2.110633622084578,0.2386508790712284,5069488.56
8,32,4,input_4sst,512,8,5,33225.4,2181.924160001901,1.6881181264935863,0.16812605911758552,4760793.040000001
8,32,4,input_4sst,512,16,5,32617.2,4794.287116975786,1.7195957960830481,0.28366214785137184,22985188.959999997
8,32,4,input_4sst,512,32,5,34535.2,5376.153695719646,1.6240936783339899,0.28055016151963375,28903028.560000006
8,32,4,input_4sst,1024,1,5,48159.2,2535.9027110675993,1.0,0.0,6430802.56
8,32,4,input_4sst,1024,2,5,31102.0,3333.3986860260206,1.5484277538421964,0.1849025876687267,11111546.8
8,32,4,input_4sst,1024,4,5,25207.8,3039.347390477107,1.9104880235482669,0.2513599677428962,9237632.56
8,32,4,input_4sst,1024,8,5,26568.0,4935.9367905191,1.8126769045468232,0.35003350971490754,24363471.999999996
8,32,4,input_4sst,1024,16,5,30073.4,4273.768950235845,1.6013886025524215,0.24269537467057964,18265101.04
8,32,4,input_4sst,1024,32,5,31225.8,9878.106810517893,1.5422887484067662,0.4946072172536031,97576994.15999998
