sst_size_mb,input_sst_count,value_size,method_group,method_key,method_label,speedup,speedup_std,details,speedup_min,log_path
8,32,512,gpu,q_paper_without_plan,q_no_plan,2.034808067664281,0.08741079473262243,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,2.04,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_32sst/result_val512B_q_paper_without_plan.log
8,32,512,gpu,q_paper_with_plan,q_plan,1.9721613457323932,0.1341823681150362,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,1.93,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_32sst/result_val512B_q_paper_with_plan.log
8,32,1024,cpu,subcomp_16,sub 16,1.1451929706571988,0.0413550496789964,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=16",,
8,32,1024,cpu,subcomp_2,sub 2,1.4274534587322447,0.0491271510140259,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=2",,
8,32,1024,cpu,subcomp_32,sub 32,0.7287618399880563,0.0429160091924836,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=32",,
8,32,1024,cpu,subcomp_4,sub 4,1.831581602448115,0.0589525326179263,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=4",,
8,32,1024,cpu,subcomp_8,sub 8,1.6829005282533165,0.0961261439234733,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=8",,
8,32,1024,gpu,c_paper_without_plan,c_no_plan,1.1881726542367743,0.05695357684375382,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,1.17,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_32sst/result_val1024B_c_paper_without_plan.log
8,32,1024,gpu,c_paper_with_plan,c_plan,1.1754461769678755,0.05661614495689719,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,1.15,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_32sst/result_val1024B_c_paper_with_plan.log
8,32,1024,gpu,q_paper_without_plan,q_no_plan,1.8505345455622353,0.09063886191039437,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,1.86,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_32sst/result_val1024B_q_paper_without_plan.log
8,32,1024,gpu,q_paper_with_plan,q_plan,1.8739644085539102,0.09799051749942408,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,1.83,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_32sst/result_val1024B_q_paper_with_plan.log
