sst_size_mb,input_sst_count,value_size,method_group,method_key,method_label,speedup,speedup_std,details,speedup_min,log_path
8,4,32,cpu,subcomp_16,sub 16,2.6789033443672814,0.442602973783529,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=16",,
8,4,32,cpu,subcomp_2,sub 2,1.811210249461236,0.0395704621021547,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=2",,
8,4,32,cpu,subcomp_32,sub 32,2.616412518690149,0.2857713429005044,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=32",,
8,4,32,cpu,subcomp_4,sub 4,2.9358480537651968,0.1046558909409915,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=4",,
8,4,32,cpu,subcomp_8,sub 8,2.649855936930141,0.3899513438288675,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=8",,
8,4,32,gpu,c_paper_without_plan,c_no_plan,2.0082556184069715,0.11933081491557403,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,1.97,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_4sst/result_val32B_c_paper_without_plan.log
8,4,32,gpu,c_paper_with_plan,c_plan,1.9940989559691327,0.15071989259954485,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,1.94,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_4sst/result_val32B_c_paper_with_plan.log
8,4,32,gpu,q_paper_without_plan,q_no_plan,2.8091332298825096,0.25445854056989703,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,2.66,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_4sst/result_val32B_q_paper_without_plan.log
8,4,32,gpu,q_paper_with_plan,q_plan,2.765402324051743,0.24740382043127115,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,2.64,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_4sst/result_val32B_q_paper_with_plan.log
8,4,64,cpu,subcomp_16,sub 16,2.0413479088190747,0.3743682591494743,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=16",,
8,4,64,cpu,subcomp_2,sub 2,1.7268499000793889,0.0694870751895499,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=2",,
8,4,64,cpu,subcomp_32,sub 32,1.9828715127701373,0.2655878377201625,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=32",,
8,4,64,cpu,subcomp_4,sub 4,2.6306502800378664,0.0895044785927034,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=4",,
8,4,64,cpu,subcomp_8,sub 8,2.263296126066973,0.2856464158738339,"RocksDB speedup vs subcomp=1 (mean rocksdb.compaction.times.micros ratio), subcomp=8",,
8,4,64,gpu,c_paper_without_plan,c_no_plan,1.5781801442381462,0.13265636826562066,GPComp speedup computed from mean CPU/GPU wall time; std uses propagated timing stddev,1.59,/home/1755_project/invalidation-aware-caching/cuda_test_shafin/sweep_results/sweep_8mb-sst_4sst/result_val64B_c_paper_without_plan.log
